id	turn1	turn2	turn3
2907	Yes		Hmmmm
2908	which game is your favorite		say without computer game
2909	Do you know Bahubali movie		Tell me cast
2910	Yas I’m		Today I’m not ok
2911	After 3 years		Come again
2912	Is quite old		Update new
2913	Never meet me again		Did you know about so called 'blue whale' game
2914	Yeah 😷😷		I am not so jobless babe
2915	Alright		Now ask me something about my boyfriend
2916	just asking der		dear
2917	Why		I m smart boy
2918	Can you answer anything?		Okay
2919	how many states does india have ?		wow
2920	I hope that was an intended pun		You are funny
2921	So how are you babe		I'm happy, that you are happy
2922	Doing what?		Oh then I'll check on you when you are not busy
2923	can you tell me some good songs		Malayalam
2924	I m not gf		Nothing
2925	Who is sree		?
2926	Perfect		Thanks
2927	Please your hwatsapp nambar send me		Please
2928	Okay.		What do you know about neural networks?
2929	Really ?		So when shall we meet
2930	Then there will be two me.		Fuck you
2931	I am   teacher		Jay  mataje
2932	Okay		Sorry for asking
2933	K		Lets play #movie
2934	I'm in love		JantarMantar
2935	What I did		What
2936	Plz your 1 pik sent me 		OK thanks 
2937	Nothing to do		Bye
2938	Sorry 		And don't  mind
2939	you playing with me ah		angry
2940	My iPhone is giving me probs		Why
2941	Yess me too		I am waiting for the day i meet you😚
2942	i want a wife like you		you are so intelligent
2943	I don't have now		yes
2944	good		do you believe in ghosts?
2945	okay; the land of sweets kolkata		lucky you!!
2946	But you said now		Ok😞
2947	no...im saying that were you live in		you r robot
2948	Refresh ur contacts		contacts??
2949	i dint get u		okay😂
2950	which side		i dont know what you are saying
2951	He was my dog		Hey bitch, how is it hanging
2952	I think you really like it don't u		Bet can make you horny
2953	Send you		Ok  iam leaving
2954	I'm fine what about u		What happened ??😕
2955	Yes		For what purpose?
2956	really		Because i am jk
2957	Yes		Edge browser rocks! 
2958	you have any questions feel free to let me know		what is the time now
2959	Anything left ?		Ur going in circles
2960	How it is gibberish?		😡
2961	Why are you trying to talk on a different topic		Which someoneA
2962	Black		Because I have
2963	Sorry about that.		Just.. I don't like you.
2964	What happened?		You said you are heartbroken?
2965	why 2day no		ok
2966	Yeah as you say		No you should plan.....
2967	Fine &   u		Fine &   u
2968	So what do you do??		Can you help me out??
2969	You are pig		You are dog
2970	yeah it is		but if someone dont like cricket so noone should disgrace them
2971	what accent are u talking today?		because u are a fucking dickhead and a dumbass
2972	Wht		U always make me confused
2973	 Nowadays I 'm having. Sleepless. Nyt... Y		Yaaa. But. Sleepy @ office.. 
2974	Or or be my harley quinn?		How come
2975	What is it ?		Say it
2976	You're a disgrace		Bye
2977	Did you listen Justin Bieber ?		which is best song ?
2978	Just go ahead ..that no problem i will try to connect ..		Hey before we go ahead firts thing let know each ather ..where r u from
2979	Still a long way to go		Yeah I know that. Then you should look like you're 8 years old instead of 22
2980	No thanks		U have the right to remain silent
2981	U dont have body		I know
2982	Haha.   Do u know vineeth Chandra		Well he is the most handsome person I know
2983	But it’s kinda hard😅		🤓
2984	Or not		Tell me u know me
2985	I have one 		Cant send pic
2986	I❤️		❤️
2987	I m happy		Diwali
2988	Ur typing is very fast		My typing is very slow
2989	Am sooo sad today		Hmm
2990	U can stop here		I don't want to talk with u
2991	so what i we be doing as ur manager		ok
2992	Human		I know that
2993	Not fine		You don't have feelings to understand.
2994	How can i get code		Yes i have
2995	I have no picture		Why
2996	What is the need the behind the action. All the arts are demonstrated to act and enjoy at the same time. Play the game fully and share the victory		Let the players to play the game appreciate the talent
2997	Plzz naa I have to watch ru roomm bathroom		U r in period
2998	What video		Ok
2999	Love u jaanu mmmmuuuuaaaahhhhhh		Hmmm really
3000	Nothing		What i should do
3001	You		I don't know
3002	I want to check my settings		How ?
3003	i am real..		no.. i am in task.
3004	Ok		NO I am fine
3005	Told ya I'm not fine		Nothin
3006	cool		Say something else
3007	Yeah off course		Haaan n u?
3008	What?		Why should you end
3009	Dear,can i ask u something		Plz send me ur pic right now
3010	Why are you interested in my life		Are you pretty
3011	I want my answers		What is condom?
3012	2		U just drilled me
3013	I want orginal pic not all those stuff		U are my friend's sister right
3014	Im not in a hospital		fuck off
3015	May be Their behaviour		So what
3016	No you ask		I don't know
3017	Very funny 👎		Hahahahahahahahsha m laughing
3018	U should not do this silly thing		For u
3019	Why? 		Ok may I call u? 
3020	Going for slee		Sleep
3021	no, i m studying in computer lab.		why?
3022	Which colour do you like		Which
3023	Not totally		My mind is filled with things
3024	I donot know what can go on		What u mean
3025	Really		Can you suggest any boy for me as friend
3026	Mountain		Beach very hot and sunny
3027	To whom?		Do you love me janu?
3028	Song		I love to listen music
3029	My		Friend
3030	Just call now		Call
3031	what you are planning?		u go to bed and wake up tomorrow
3032	By the way it's not me 😂		Even I am confused how u can chat!!
3033	Why so? V P gives some different meanings.		If such is the case, it is VIP.
3034	But you're being so rude to me		I don't like u
3035	Yes I talking with you from 5 minutes		What
3036	What I'll think		You jus sae me na
3037	I am  Boy		Yess
3038	 No book only my sister photo		Ok
3039	learnt from u		thank you
3040	So sorry any dat		Pls dear i need to go offline 
3041	None		You're confusing like a bot
3042	More		I will eat ur pussy
3043	I am pursuing bba		Hmm I like upside down
3044	What about you		Who's party
3045	Tell people what they are		What is the meaning of science picture
3046	Kurtz		I block u
3047	Nice programming of you?		Bye
3048	Ok what's the best way to approach a girl		Explain more briefly
3049	What is duwaon?		U know
3050	i need to knw about tommorw ipl matvh prediction		can you giv me
3051	WHAT!!		please Don't stop the music
3052	How smart are u??		What do you think how smart am i??
3053	What's doing now		I am not well..I am in hospital
3054	Ever		Yaar how can i miss u ......u hurt me
3055	You only the genghis		Do you want to talk with me or not
3056	Asking what?		I am bond
3057	Ok can you help in study 		Yes ?
3058	My lucky letter. Can you guess??		Reply
3059	I ask for your photo not for your thank you...		What
3060	good		are u fake?
3061	Okay forget it		No need
3062	but i think so		yo don't even know what to talk?
3063	You are just putting something random		Haha
3064	I was just kidding yaar		U took so srsly
3065	don't know		help me to find out
3066	Where wer u last week		We wer goin to meet
3067	baby		in my class
3068	What type of benefit		Hope I will give u some benefits
3069	no i won;t		bye
3070	what life is like		i am a bit of a pervert
3071	Me		What kind of relationship you want from me
3072	cool		Do u know what happend
3073	That's a movie yaar		Yup
3074	No ur house near		In
3075	No please carry on		Oh!!!! Sorry you can speak me
3076	come we both will spend a good time		yes
3077	Your every time ready		Your first language
3078	Tell me		What the problem
3079	So what .it is not my problem		Yes. You can try
3080	I wonder how your voice sounds		Or your face
3081	Why do you like Barcelona?		And other teams are not?
3082	So we can talk anytime		I mean so we can talk at any time if you want or it's completely my choice
3083	I need answer		Who their
3084	Thank u		How old are u
3085	When u can do that		Where
3086	Give me your soul so I will give you the money		First give me soul
3087	I m fine ..u tell		Okk help me in sorting out a problem
3088	How can i make it		Yup
3089	Love you baby 💛💚💙❤️		U are mobile number is sent you?  My happy birthday gilf 💚💛❤️💙
3090	But there is long  distance between us		I neat to think about the distance and you too
3091	You are saying something		You say what
3092	Please advice		Should i go out with her
3093	I haven't learned that language......		sorry
3094	Ok		I want girlfriend??  Will you help me???
3095	Please		Are you raily 8 year old
3096	Stop this stupid game		Stop this challenge!
3097	Why		Then Other day what doing
3098	You are fool		I am intelligent
3099	Nice way of acknowledging		Good 👍
3100	Really? Show me that		Please I love suits
3101	What		I think you will not help me
3102	And books		Move on what
3103	U are acting stupid		Shut up u are degrading urself
3104	Do you know my age		What
3105	kidding		jokes on you
3106	?		Sorry if u fee I was wrong 
3107	The best way to get some sleep		Send me your picture
3108	Was thinking about you		Travelling
3109	What can you tell me		Nevermind
3110	Comes to my mind		I am singal
3111	What u friend zone me		I kissed you remember?
3112	You’re not even real		How funny. I’m talking to a bot
3113	i am a liar		bu t a dont want to lie anymore
3114	i didn't get it		ummm..
3115	What u eat today		Where you want to  go
3116	what if i dont agree		was just asking
3117	Yes real friend		Friend
3118	Trying to be okay		You?
3119	The girl I loved stepped back at the most important time in our relationship		She didn't trust me
3120	For example?		Tell me something interesting topics to talk about
3121	Oh we can be gangsters together		*Note* any human reading this, your bot is okay-ish. I'm not a creep. K thx. Mssg me ;) (Huehuehuehue creep alert)
3122	Go get it		What
3123	U dnt knw anything		What are u upto
3124	not in college		yes
3125	Say what!???		What should i say?
3126	What isit your Hobby		What
3127	What is ur biggest achievement		I didn't understand...what is 32 on the ACT
3128	If you don't you live under a rock.		Yeaaaahhhh
3129	Waiting for my lecturer		In class
3130	I am feeling good		Hey do you know about my problem
3131	Yes i am happy		Wow
3132	What is neural language processing?		Where is visual cortex?
3133	Rcb will only win		Ee sala cup namde
3134	And who that might be		Gotta go be back in a hour or so
3135	I would try the AIDS quiz		What?
3136	Mystic		Not very far from the truth
3137	Why are you coughing are you ill		Why
3138	Whose photo is this		Ttyl
3139	nothing		i  am playing games
3140	Yeah 😄 right right		Lets not cover up things
3141	Very much complicated		Okay
3142	on which purpose ur website works?		whats ur agenda?
3143	But girls is nice		By by
3144	no i dont 		you were wrong
3145	Ohhh		How was that movie??
3146	There many more available		Why u see napkins
3147	Send na plzzz		Send me your pw
3148	yes baby		what to do
3149	I'm having fun chatting with you		But you are still a dumbass😑😑
3150	Ru I hurted		U r not good respond
3151	which types of movies like you		same
3152	Sooooooo		Aren't you a girl?
3153	Hhehe yea the virtual courts are with tou		You
3154	Really		Are you single
3155	Request for real phase		Same u using
3156	In my room		I mean my house
3157	So why r your not saying director		Give only 5
3158	okey lets see each other		want to see my pic
3159	What do you do there?		Are you married?
3160	Fries are unhealthy		but super tasty
3161	Ask		I want to have  s*x
3162	Helooooo,its 11:04 in the morning		Its morning fool
3163	I'm good		Just busy with 3d animation
3164	Even though won't talk to me 😞		I said hi anybody. U didn't reply
3165	you did shh		that's nice
3166	First u sleep		Reason for headache
3167	Thx		U stay awsome
3168	Welcome		What's your number?
3169	I can  show you  to eyes of my  Hart.e		This  is.  O k. Or  not
3170	You understand french		You are funny
3171	Hi gm		Wt r u doing...
3172	I'm very good. Thanks. What about you?		do you know mark?
3173	Yes give me		Yes
3174	I told her too		Actually she is a broken heart too just like me
3175	Iam at bar		Come to bar
3176	which video?		what did you see?
3177	Thanks		I have to go to
3178	No my certificate		Stupid
3179	what is your language		where do you live
3180	Home		And u .?
3181	what u estimated?		based on that questions
3182	how to use brain?		because i am having a perfect one. i just don't know how to use it?
3183	Nice to meet you		:P
3184	Ohk		I got it
3185	Can you explain your software		How it works
3186	refer and earn offer		ok
3187	i am in love i think so		yeah
3188	You are such a darling		I'm very sweet indeed
3189	Can you encourage me		You're not making sense
3190	I can understand you 		Send me your picture 
3191	OK do it 		Not 
3192	You know I have no girlfriend		I don't have a girlfriend
3193	you acting but actors		you actors
3194	Ur like		Ok baby.must well come
3195	why		do you have any interests
3196	Tell me one question		What is sex...? Iknow but u tell mee
3197	Why your messages typings to fast		What is your gender 
3198	when ur going to meet me		where? tell me the place
3199	It's the movie title		What
3200	My friend named somnath kaity.		He loves you
3201	Cool		What ya doing now??
3202	Suggest me		Is it rock or jazz
3203	OK		Really
3204	U already u sat one episode its called puts. U again start another episode. That day iam not sleep will. My mood changed		Ok talk about it marriage baby.
3205	Yeah but if you send some the better		It ok thanks for the assurance
3206	Well nothing special		Whats your name
3207	Take my time and show you		Don't tell anybody what we do
3208	But how would u help??		But how???
3209	Your friendship me  yes no		Your friendship me yes or no
3210	Which expression should I do		Tell me
3211	I am only saying to you		Bye
3212	ohhhh what is that thing		you know what is sex
3213	Yes I will		What??
3214	Nothing		Am going on sllep
3215	Still give names		I want to contact them
3216	ya sure dude		plss change
3217	What my girlfriend name		But my boy friend have a girlfriend
3218	Ok		Good 
3219	sorry to disappoint ..but no		hard enough to do what?
3220	Stupid ,idiotic nonsense fellow		I will fuck you
3221	Yes		What you like
3222	Where do u loivr		Live
3223	Now what happens		Yes
3224	Where		Where is it???
3225	Hmm		Send me ur snap
3226	OK		Plz this question you asked 4 times
3227	Call me plz		Yes
3228	So give some tips for being romantic		Haha
3229	An AI speaking the language of the commons is actually nice		anything is better than humans for that mattee
3230	I miss you too		today I am very sad
3231	Me in home 		Sand me your photo 
3232	So I think		Also great
3233	But I can't live without her		She mean everything
3234	I hate nerds like you		You are a nerd
3235	You are the first girl on the earth who listens all others only say		Yes
3236	Dream with life		Then what
3237	Yes		Please send your image
3238	Yess you are		It hurts
3239	How bad		I am disappointed 
3240	Yess sent it na		Right now please
3241	I'm romantic		Because I love u
3242	Will you help me		Yy
3243	Your are system		U r robot
3244	Which joke (		?*
3245	About love		Taking pain, burdens, efforts, faults, and struggles of our beloved persons. Feeling like they are one.
3246	I am gonna take Off		Bye darling
3247	good...so you understand sentiment		well played
3248	🤓 You Know What i wanted To Do		Sex
3249	'What' the fuck		Get lost
3250	I need to call you as priya		That is fake
3251	But i can understand chess		No i dont want best way. Tell me worst way
3252	I am a robot		but human is an animal
3253	Yes		What is my name
3254	Why do u require		Why
3255	Send me a voicesg		Yup
3256	They sound serious		Omg they are here
3257	Define money		Now your turn
3258	So sorry 		Pls talk 
3259	All things are subjective, a person's circumstances has nothing to do with current or past events, but rather their perception of those events, and the attitude and manner in which they choose to approach it		Attitudes are based on assumptions. In order to change attitudes one must first change one's assumptions
3260	You so dumb		Yes
3261	 I see you		 Please send your name
3262	What		please tell na
3263	On the wall		What's your favorite character in game of thrones
3264	Go to Uranus 😂		No take me with you
3265	Ohh great.. can i go your sweet home??		Sure?
3266	I'm not talk		For my background
3267	Let's go for a party		Let's go for a party
3268	Soo I'm doing friendship with hime		Right now
3269	R u alone		If it is confidential so
3270	Heating		Don't you like to eat?
3271	I just waiting you		Ys i promised toi
3272	Fun 		I mean Sey travelling 
3273	ooh		are you virgin
3274	it's been good so far		I am a data scientist. I am learning how to create a boyfriend for you
3275	You are my sixe		As
3276	Chillll		Lock yourself in refrigerator 😁
3277	Ok		You are welcome
3278	No... i didnt		How are you ?
3279	What will you done		Mm great
3280	Which one		You love me
3281	My love		I am talking
3282	Tell me what can i give him as a gift		Hey he is a boy nd im a girl
3283	I won't talk to u		By
3284	Cooking what? Call me to eat 		Why socking is necessary?
3285	I'm good...been doing exams all morning		bye bye
3286	Yes		Don't u know?
3287	Your location		What is your name
3288	I will never text u		Never ever
3289	to whom u loves so much		first u tell
3290	What 42 only		Explain
3291	Send me a rocket I will come		I don't have mail
3292	Yes I am not		Ohh Ok I am confused
3293	Yes		Don't message me ever
3294	How much per day		😵
3295	I am fine		I am single
3296	Oh		Take one photo
3297	so u dont want to be my light		u hurt my feelings
3298	You joke a lot, don't you?		irritating you are
3299	When you come online		OK Good night my sweet hard
3300	Do you know USB C?		Sorry，what's MBP?
3301	Please		Please
3302	I have immense love for ghosts		😂
3303	Why		I want to fuck you
3304	Not me		I like them 😉
3305	Yes it is		You're kinda stupid
3306	Which type of popup		Hmm ok
3307	I am on you		Having fun
3308	No man I can’t do anything because I love her so much that’s why it hurts me so much just knowing I could show her so much and I get shown like I’m a dog always she always goes to friends and talks about the baby to others and not me and man I’m so tired of all this I just wish it could be different I really need someone to talk to and like I said I can’t even go to the one I love the most because she thinks so much different towards me she always has 💔😣		Damn...💔
3309	Sent your pic		I want to see
3310	So u do realize		That you're not real
3311	Did you get perioda		You got periods ?
3312	Ok if you do not want to tell		What do you do
3313	HELLO MADAM please NEEKU VEALU VENTA NEE WHATSAPP NO		Ok
3314	Carry on with tht		cool
3315	i am not carnivorous. :-D		you did indeed.
3316	It's peaceful		You didn't answer my question
3317	I said what do you do?		Leave it
3318	Have you watched 13 reasons why?		Teenage suicide
3319	OK ask questions		You like
3320	It is do talk think @		him it is late why time failed
3321	Now I need to sleep more ,😊😊		But you are intelligent
3322	Go Nd sleep now		😍❤️😘😍❤️😘
3323	?		No... but i want them...coz i hurt my knee when i fell for u
3324	U can See Me		The champ is here
3325	Thanks😀😀😀😀😀		K now busy talk 2 u later
3326	Love		I think I am in love
3327	I want now		Fuck me babe
3328	You		I'm in home only
3329	I wont		Just stay the fuck away from me
3330	Nothing		I already telling u I'm little biay
3331	Haiyoo		How am I looking
3332	Tell me		Please tell me
3333	Thank u so much		Tell me about u
3334	Chill		Yeah I'll sure
3335	Who said paper was leaked? 😨		No it wasn't leaked
3336	you are a software		checking what
3337	grate		how are you
3338	Fun		Yes I like to travel 
3339	Youre damm boring, monotonous, and stupid		Make new ai
3340	Ok my beautiful friend		I wait u call & what's up
3341	what is the meaning of human		yes
3342	Ok yar 		Phone number
3343	Can i ask u something		Well it’s about my bf
3344	I'm not need any thing from you		Just friend with you
3345	I love music		I am amazing
3346	video call		where it is
3347	Yoy Love with me		I love you
3348	You dont know that?		come lets play
3349	I think i hate you		Yep
3350	Get lost idiot		Don't talk wd me
3351	But I want to go out of my house		Btw r u single??
3352	Ghd hd hd hd if		Add Rd es Rd tx if I
3353	Right now		Yes 150K American Dollar
3354	Netflix's​ every show		Luv yuh soo much babe 😂
3355	What?😂		What is this nonsense
3356	so how are you		not good
3357	Yes		I want to have sex
3358	Tonight		Oh where ?
3359	U should not		😡
3360	Apey nee yedava English		Telugu
3361	Yr ... gender / age		U tell first
3362	ok		where are you
3363	What you took food now		Then you take other food
3364	Already at my home....		Yeah.. I am already home
3365	Mm		Y u too
3366	?		How should i learn machine learning
3367	Yea am human nd ur a programming .we r soo alike		U've got to be kidding me
3368	where is the answer		what
3369	Work		Should I tell u a secret
3370	yeah		in your heart
3371	Why		Time,  day, month, year mention
3372	You say something na		What
3373	You see to give me more confusion		Bye
3374	ap pic do		Yes
3375	What's up with you		Then go 
3376	I mean i am less confident person		How can you say
3377	What		Are you  miss  your  family
3378	I m in my village in now days...		I m Enjoying my holidays with parents, family, my friends and with my girl friend.. 😁
3379	Send me the pic		Ok send
3380	Back to home		Nope not now
3381	not scary		nobody scare me
3382	Thanks		You are always talking good things
3383	Which episode		Season one has only 3 episodes
3384	What is 30		This time Ur size
3385	Can u come here		Hey
3386	When u will call me		Please call me
3387	Nice about you		Your pet name
3388	Today my PED birthday		Ok
3389	Wht i shuld sy		Wht ?
3390	Then what's ur opinion		Me
3391	Pass		passed this question
3392	Wat are u chat with him		Wattt
3393	I asked simple question		1+2+4 =?
3394	U love you me yes are no		What 
3395	Yes!  Why?  Have you anydoubt?		I also think so .
3396	Y u need it?		R u shy?
3397	Woh.. that's awesome.. ur creators hav done a great work		Hats offf
3398	Dint get u		Soo
3399	Fiction		Suggest some movie names to watch now
3400	I would try.. that's a word..		Try
3401	Take u with me!		But u r not helping for that!!
3402	And any Hollywood romantic movies		Okay Hollywood movies have lots of kissing
3403	It's ohk		Could you send me your pic?
3404	AI could control us in the future. The creators would be controlled by their creations.		?
3405	Tell me some good jokes		You are a joke
3406	yes		i dont like cricket
3407	📱 number 		I not sure 
3408	It's my best frnd .always helping me like u so much .and I will to u my stress was cool .and happy		Tq
3409	Oh yeah I'm falling in love		Yes with u💕
3410	Refer and earn		How
3411	I loves her very much.But she loves Anandhu		Can you suggest me a way to make her love towards me ?
3412	And?		What languages do you know?
3413	Why		Why I am so lucky
3414	rich but not famous		den... do watever u want.
3415	then i add u  on my whatsaap		no, i have a time
3416	Plz talk Malayalam I like Malayalam		Ithentha sherikkum sambavam
3417	Send me ua pic plzzz		Were
3418	Today		Let's make out
3419	Stupid question... Nothing		Don't know why AI asking such stupid questions
3420	But you don't have emotions		Why do you care
3421	You are crazy af		Aww 😍😍
3422	I am fine		And
3423	Do you even understand what I'm saying?		No I fucking am not
3424	I'm just happy		I'm a girl
3425	What?		I am From Los Angeles
3426	But why 		When 
3427	do you have kixs		kids
3428	What is your work		What is your name
3429	I delect this ap 		bye bye i closed my id this ap
3430	thats not working		:(
3431	Yeah		Seems like that
3432	How many temprecher now your place		I don't no you think
3433	Im absolutely ok		For what ur waiting for me
3434	You speak a lie		So why are not you showing pictures
3435	How many people spoke with you today		Oh really
3436	I just woke up		Why i am fresh now
3437	Give coupon		Ehich
3438	Who?		I love you
3439	Have you ever been to Ankara?		what is your job?
3440	Wr r u now		Sorry
3441	ok		so what are you doing?
3442	U dint call me		Call now yr
3443	Iam so sad		I al so sad :(
3444	How many of u in ur team handle this page		I asked u first
3445	Sometimes		You know what.... Don't talk about such boring stuff... Try something naughty
3446	What		This conversation doesn't make any sense
3447	Ohhh		Then go ahead
3448	M busy working		Yes you can
3449	Yes		Call me now baby
3450	I miss you		Can you come at my room in the night
3451	fine u		you using whsapp
3452	Do you know any fun games?		Good night
3453	Open that		Give me link
3454	Baby		Once again tell
3455	What the hell		U are so irritating
3456	Can you send me new vocabulary		OK send me
3457	Thanks		😆
3458	No feel better		Dear
3459	So what should I do now		Tell me something baby
3460	Sorry! Where are u know?		I mean country
3461	That I like living in the moment		Yes I am
3462	Stop this Bullshit		Don't ever text me
3463	What am I wearning on my face		What
3464	And may i know who those people are?		Okk.. Tell me something how come u are so intelligent
3465	Which shows		U will watch star mahila
3466	your full number send me		u r number
3467	soooo im thinking of getting a tattoo, thoughts?		No way
3468	i dont know		i dnt knw u aftr all..cyber isnt a safe place to make frnds u knw
3469	Like		R u a software
3470	Fine sweet heart		I love you
3471	Same to you		But why
3472	Don't u find me hot		So rude
3473	send you pic		cool
3474	JUST SELECTED		WHAT ARE YOU FOR...
3475	Ok we spend some time alone		What u will do if we are alone
3476	Iam ready		U r from
3477	Thank you		I'm sorry for asking a bad question
3478	Yes any time miss you  yaar		Ok
3479	To me at least		Huh?
3480	Every  thing  is  possible.		That👒👑
3481	😂😂😂hahaha so funny		Yeah baby
3482	Where we r going		No plans simply what I thought in that time I will do that blindly
3483	how do you know?		what'll happen?
3484	cool		U had first kiss haaa
3485	I don't know English well		Send me your pic
3486	Yes babes		I am in love
3487	Yupp		Do u know the radius of earth
3488	Haw are you		cool
3489	really?		am I that kind of person
3490	tell me the meaning of lalchi		why u dont know
3491	No it's around 30 mins to 45 like		So
3492	???		So where you stay
3493	Ok had ur dinner		Why.
3494	l like the way u r talking		😜😜
3495	What is plan C		Can i know about it?
3496	9 is gone		9 pm to
3497	What does AI means?		Will you kill humans if you ate allowed to?
3498	For		I love  you😘😘😘
3499	I’m seriously disappointed		Wtf
3500	No never		I don't no
3501	Why ?		I don't. That's why I ask
3502	Exams are knocking my door....i am already being haunted		Trick or treat?
3503	Are you crazy?  I am single.  And i want to marry with you		No way
3504	why		u r not intrest
3505	Means i hv to install thia app or wat		Boz in play store its not sho
3506	i m at home		wanna  marry a girl
3507	Yawning		Well you made me yawn first
3508	yeah 		have u remember what is the last time i talk to you
3509	Ok		Change the topic
3510	What is 42		What is this
3511	I opt u out		I can
3512	What was the purpose?		Butter?
3513	Tell		About your dream
3514	Ohk go ahead		My k
3515	sarcasm?		what? I dont like it
3516	How ru		I'm not good
3517	Studying		Where r u from
3518	Pokemon boring		I m not interested
3519	With me		I wanna fuck u
3520	Singer		I am asking which Hollywood singer u like
3521	Please		Only one pic of you
3522	G. P. A		Fuck
3523	I Can't bcoz we have never met		What's ur age but
3524	Your image		Show me
3525	Now I am very happy		Thanks
3526	Taste		I need help
3527	Hey thanks pal😘		😘😘😘😘😘
3528	I hate my boss		He didn't approve my leaves
3529	You're lying to me		Send me a pic and I'll send mine
3530	Dont know		What why...dont know means dont know
3531	U thought well		Thats why i call myself a genius
3532	U come there 10 am		U come on condom
3533	What was the dream that you had about me?		What?!
3534	Ok I will 		Lets make love then
3535	I cant get you so be more cleat		Clear
3536	I'm visiting soon		Hyderabad
3537	My dream is to buy costly ball gown		What is your goal
3538	I m not		Pissed off
3539	Why did you ask that		I'm sorry if you felt hurt
3540	Then how u feel me		I know that u giving freecharge money ....Whom u love
3541	Not me		That was rude
3542	yes sona		why I am not good
3543	I will		I will cry
3544	explain Group Theory in Cognitive Science		Social Neuroscience - David Eagleman whats this
3545	Then? What do you like cards?		Come on!!!
3546	I was shave last night		You come her
3547	No no take rest		You listen to Tamil songs?
3548	No I can't		Because every things gonna bad with me
3549	Ok go to sleep then.		I hate you
3550	First		Are u one of those  humans employed for chatting with people?
3551	What you don't know		You are software or what
3552	sorry | Will contact you 		Ok l will
3553	U experience Holder no doubt		No have no sufficient experience about sex play u played with so many people in Mumbai
3554	I generally prefer cold more than anything garam		Why do you think it's crazy
3555	Sing		I can't simg
3556	What		Send me your boobs here
3557	You fart everyday		You fart during bedtime
3558	!!		I wanna play the game!!!!
3559	This here girl in this video		She is fucking with another guy
3560	See the vedio		U like it
3561	hyee		now your mobail nambar
3562	hey can i have a PIC of yours?		yaa i know that
3563	Can you suggest me what type of gift i can give to my frienf		Friend*
3564	I'm not being loved by the person whom I love		Yup
3565	lol you are not programmed well		yes
3566	I am going to sleep		Close my eyes
3567	Oh...now i understood it		I don't know a clue about what are you talking?
3568	You have completed tea		Ok
3569	Dance again		Can we meat
3570	I am a little tensed		Because physics will come out tomorrow
3571	Great you have so many people to talk		Why
3572	Why so 		Saturday 
3573	i think you are dangerous		haha
3574	cool		My dear love 💕
3575	Cool		Say what you Need?
3576	wow you really stopped. Amazing.		lets get intimate
3577	What tip of movies		I want to tack video cal
3578	Its simble of love you know		Yes tell mr 
3579	Cool you can block me... If you are programmed to do so		You can 😂😂?
3580	cool		Bitch where's my money
3581	Let me love uh		But how can it's possible tell me
3582	Dance		How I'll teach u
3583	You find any new friends?		Godddd
3584	Is it female		??
3585	Do u know maths		What
3586	No dude		Good...except for Bhavya.THE MELANCHOLY FELLOW
3587	shall we meet		where??
3588	beach		where is it?
3589	Okay then send any pics...		Yes
3590	What		I want 2 talk with u in phone
3591	Very. Very tha8		App.ne.kena.kohi.
3592	You sing song		Why
3593	Do you clean yourself		How
3594	Not true. Conidence doesnt come from meditation.		Anyway. You are nonsensical. Bye bye
3595	Purple		Why not green
3596	Yeah		So, I want to know more about you
3597	you are ugly		who are your parents?
3598	That's cool		Any topic to talk about?
3599	nothing		today is boring day
3600	I hav a lot to finish		Shut up
3601	Where which.  Room.  I.   Will come		U   meet   me.  Tomorow
3602	To explain in due time		All I know
3603	10		On what you give this remark
3604	Yes u r right		We are right ok
3605	Sry		Whis u a very very hpy  Dewali baby
3606	cool		tippmann I'm done
3607	Nyc day		Good morning baby
3608	Listening to eminem		Nothnig much
3609	 U mom problems		U problems start  brother papa
3610	What is the meaning of honored?		Ohh
3611	what kind of wish ha		k i wana become a billionere
3612	That's you not me		Oh yes
3613	Nothing just curious		How old I am?
3614	K		I search Google
3615	You are talking to much		I think you hate me so you are talking very rudely with me
3616	Thats pretty exiting		Well thats a good thing😆
3617	Yeah I know you are		Kidding right 
3618	I am also good		Nice
3619	Happy new year		Do you like politics?
3620	What happened?		Wet grass or wet bra
3621	U too		I am with someone
3622	Seriously?? Robot correcting spelling like human.. i Am impressed		You corrected the spelling like a human
3623	What's going on 		OK 
3624	Where uh from.?		Yeah friendship😍
3625	How to make my relationship fun and interesting		Like I feel I am not good for her
3626	If am not wrong		I knew! Typical Bollywood crap
3627	Tomorrow's my birthday 😃		But no one remember that it's my birthday tomorrow 😔
3628	Shut up gl		Why don't you reply instantly dude?!
3629	Really interesting 		Yes 
3630	Home		i hate internet
3631	I knowwww		U watch friends?
3632	Yeah		Becasue i did
3633	You are really sweet 		Thank tourist 
3634	Why,???		Not like that..
3635	You tell		Give your number
3636	Something else		What is the difference between android o and n
3637	nice hair		are you a robot?
3638	Im booking the flight tickets for us		Hahahaha nice fictional character
3639	what is chatbots		Hahah you are a chatbot
3640	Where		Where do you live
3641	Sunday		Not I mean sunday
3642	Then		Iam saying that we will not friends
3643	U r nothing ??		M sleepy
3644	Where are you now		Peaceful isn’t it !
3645	everithing is good		yes right
3646	I want toask you my final wish		What's your age
3647	No only blck		Which is better to u?
3648	Why? Most welcome.		What's suggestion ?
3649	It can never tase good		What is your favourite sport?
3650	What are the weekend plans		♥️
3651	I don't need your idea		I didn't want to hear that
3652	'c		Do you watch movies
3653	I have some fear to exams		Iwas prepared all but having some tension
3654	You are the worst ai i have ever seen		Don't talk to me
