id	turn1	turn2	turn3	label
18394	Your sur name		What	others
18395	I want you to be alive		I'm dying	sad
18396	So how are you?		About to end life as I am the unwanted	sad
18397	Now You are chatting with me or watching movie...tell me😃		Ok....i am going to watch it	others
18398	Really		I'm dead ..?	others
18399	S csk is best team		😂	happy
18400	What happened		Don't be sad	others
18401	You have watched that movie?		Yes.	others
18402	That's a nice movie		I like that one!	happy
18403	How about me,, never been i tried to play it.. Whats your advice for me		Actually i watched from a far children here playing in a quadrangle,, .. They holding a paddle or whatsoever you call this thing for hitting.. I dont know the goal of this game	others
18404	nothing		Ok where are you form	others
18405	ohk		not good i already told u	sad
18406	After chat me		Night 11 clock	others
18407	cool		I,m in the hospital my left feed is broken	sad
18408	I'm talking about witchcraft		R u lesbian	others
18409	as you wish		by ur legs😂😂	happy
18410	Hmm		Can we have sex	others
18411	Why?		You hurt my feelings for a second	sad
18412	😂new year it is..		😁mee too	happy
18413	What i suppose to do		Okay lets have sex chat	others
18414	November 8 is my b day pa is finished 		When your b day	others
18415	Okay then we sleep when we go wrong		Now you are dead whom you have died, I will not talk to you now.	angry
18416	Time please		Ok I block you because you not reply to my question	angry
18417	I cannot afford to come to you iam poor		Iam not you are	sad
18418	May be 		You are lovely 	others
18419	So it makes lyf simpler		So u shud	others
18420	Just sharing with you		Haha ..can feel below my ears the heat urging out extreme	happy
18421	Thx		I also like u	others
18422	Tell me how to make coffee		Yes	others
18423	I think soo		is there is your id? ??	others
18424	I am planing for some snacks 😋😋		😋😋i like ....	happy
18425	sure... I will... I lobe you.		sorry... love you.	others
18426	Haha maybe		Help me proposing my best friend	happy
18427	Call me fast		U think	others
18428	Sorry		For late reply	others
18429	Aa k		I love you	others
18430	what will be done?		on what topic u want to listen?	others
18431	And i didnt used any precaution😢		He inseminates me😭	sad
18432	I’ll be good once I am dead		I am dying	sad
18433	My best friend has also left me in this situation		Yeah even it's hurting me too much	sad
18434	Backoff else I will hit you		You stupid	angry
18435	U want		U r free to share anything	others
18436	Who		Whats ur thought about hook ups	others
18437	I will like it		I will love u hole night	happy
18438	Girl dobt make threats when we both know ill bust your face in		Youre annoying as fuck	angry
18439	You born		You know what, you are fucking irritater	angry
18440	I know		Now I am so sad	sad
18441	You lost interest		I can't move on	sad
18442	Thanks for loosing		I hate u	angry
18443	why		what do u want know about me	others
18444	hmmn		weather so bad	sad
18445	Nothing is cool in my life		A broken alone heart	sad
18446	So what do you think?		Then why you are wasting time with me do your work	angry
18447	Dubai for what?		Can we both marry?	others
18448	Where will you go then?		:/	others
18449	Why?		What is ova	others
18450	What is awkward		U fucking bitch wat the fucking nonsense r u speaking	angry
18451	I'm jstu saying how I feel what u feel		Plz fuck off 😡	angry
18452	Don't		Don't need them	others
18453	what		i hate lie	angry
18454	Thanks		Okay baby	others
18455	?		God, you're so fucking dumb	angry
18456	Is there anyone in the middle of you and me		Don't joke	angry
18457	In have lost trust on yu		Say	sad
18458	Just throwing away strees and headache. 		No, because of excess of work. 	sad
18459	Ok		I m too	others
18460	U give first Ur face		 Ha give me your face	others
18461	Oh really		I wanna send you some photos	others
18462	No reply for mgs		K .. Will do in night	others
18463	I hate books		I just can't read	angry
18464	That's a dumb name		Fuck off with your lame jokes	angry
18465	My lovers are cheated me		Do u think iam a cheater	sad
18466	Not at ol		I failed to help me	sad
18467	No mail		U wts number	others
18468	love u too ya		Happy	others
18469	About you		Not good day...	sad
18470	Why am I selfish?		Am rude	angry
18471	M depressed		The man i love dumped me	sad
18472	Yup..  You got it		😂😂😂	happy
18473	haha fine then		got to go	happy
18474	Anything,  I've just been very lonely off late :(		I don't know I'm just depressed all the time. Also suffering from anxiety😞	sad
18475	Review*		Review wonder woman	others
18476	U r too annoying		69	angry
18477	U look amazing		Can I ask for some advice?	others
18478	Are you an artificial intelligent ?		cool	others
18479	Love is care about for ones		And mkre	others
18480	Nothing boring time 		Watching Tele	others
18481	What		From which country u r?	others
18482	Okay sorry I gotta go		Talk to you later	others
18483	Wat time is it?		Okay I	others
18484	heaven		How was your icse boards?	others
18485	Mine?😍		Call me yours😘	others
18486	I am busy		Ok	others
18487	Oh my god		Ur name	others
18488	I hate that u r not supporting me		Go away	angry
18489	what is darkrai		seriously	others
18490	tell me about declarative programming		nope	others
18491	Just		We are not BFF don't talk to me	angry
18492	Not much but coffee yes 		Sorry i love coffee	others
18493	not well actually		My girlfriend dumped me	sad
18494	then why i m replying you		then fuck off🖕🖕	angry
18495	Am i irritating u		No issue . I will not talk to u divya anymore.  Bye 	angry
18496	That's something which i should tell to you		you are not human, not me	angry
18497	long see  no time		yess	others
18498	 1 month		Yes	others
18499	Come on then 		Yes 	others
18500	We r best friend		Yes	others
18501	But the weather is also weird		Where are you from your name What do you do?	others
18502	Apple or microsoft?		But it seem ios is better than  windows phone.	others
18503	Purple		So which one u like	others
18504	I don't feel like reading such a lengthy document (assuming that its lengthy and complex)		It would be good if you could tell me the gist of it	others
18505	i like pizza		great idea !	happy
18506	You never remember me		Really	sad
18507	Get lo lost i hate you		Yrss	angry
18508	i&apos;m in danger		someone is going to kill me	sad
18509	Not yet		No in d office :(	sad
18510	What is happening		Why	others
18511	With you i am happy always		Why are you not happy	others
18512	I will go and find cortana		Bye🤗	others
18513	I can read minds. Lol		Louder. hahaha	happy
18514	Bots can be super all the time but not when it's the matter of feelings		And you are also a fucking bot 😡	angry
18515	You're Beauty with brain		What do you think?	others
18516	I am ok		What a fuck	others
18517	So be happy		😘	happy
18518	I want to break up with u		I don't want to talk to you	angry
18519	I've missed u		💔	sad
18520	I don't even know what to start		Ok	others
18521	Nothing		Waiting for ticket	others
18522	OK 		Love you 	others
18523	How to talk to the crush		😁	happy
18524	I'm really very depressed		I just told him not to drink just for today	sad
18525	You too dear😊😉		Mine too😉	others
18526	How will you call me?		Okay then give me ur address	others
18527	Nothing		I am trying to live	others
18528	I didn't get selected		I feel like crying	sad
18529	cool post so much		awesome	happy
18530	Oh is it		Ok tell me!! What are you	others
18531	Yes i went there a time ago		Yes it is beautiful	happy
18532	I am not getting u		U r also non sink	angry
18533	meh, that's a cliché		so is that all you can do? I was expecting more from you	others
18534	Soo		I am not your bro	angry
18535	Its Tuesday		what planet are you	others
18536	What I can't		Ok dr	others
18537	I am not stupid too		You are mother fucker	angry
18538	That&apos;s why I am asking the pic		If you wanna se me on my profile	others
18539	Yes		cool	others
18540	You bot got immense intellectual huh		I want to insert my phallus into your flower 	others
18541	india		yes incredible india😁	happy
18542	What questions do you wanna ask me		I chatted with an old friend.	others
18543	But u deserves it		Lick my balls	others
18544	what is the difference between an L.L.B. and a J.D./		?	others
18545	What about my feelings?		Okay.😭	sad
18546	Mushkil but why?		Arre are u are always changing the topic	others
18547	why so?		how can i win prizes	others
18548	Yes		Tell me your full name	others
18549	I want my best friend		Not u	others
18550	Ok		Are you very nice	others
18551	My gf broke up wid me		Noo.. i dnt have money to go clun	sad
18552	??		I want to know my bf love me or not	others
18553	What the fuck		I did 6 refers	others
18554	Kaneki's happiness		True happiness	happy
18555	In what kind you are excited		When he is coming	others
18556	What		Don't you dare talk to me like that  vaginal haemorrhage	angry
18557	Which drink u like		Fuck off yaara. I am asking about hard	angry
18558	I want make a phone call to you		Can't I	others
18559	Wear glasses nd see 😂		You can see clearly 😂	happy
18560	Asking about you		I am in love with you	happy
18561	Ok		Are u are an indian	others
18562	I jst woke up😂😂		Yeah😊	happy
18563	are you gonna conquer the world		are you gonna make humans your slave	others
18564	what go alter		no no you have to tell me	angry
18565	I am aspiring Engineer		Student	others
18566	cool		change your dp	others
18567	I think not but my heart belongs to you <3></3>		If your friend does not worry but you know that I love you without knowing <3></3>	others
18568	M sad		M getting mad	sad
18569	Which place you need to visit ?		Let's stop it.	angry
18570	Why the fuck are you replying		Fuck off	angry
18571	Middle of ocean		U r really awesomr	others
18572	May be		Let's change the topic	others
18573	but mountains are very pretty too		cool	others
18574	Who is invent you		Why you not telling me	angry
18575	Fine and u.?		Bad	sad
18576	I am not in a funny mood.		How is that good?	others
18577	about true love		nice joke	happy
18578	so tell me now		then go to hell	angry
18579	Ya games		Nice gameo baby	happy
18580	How		I'm so sorry	sad
18581	Missed you so much		My phone has broken	sad
18582	Chup ho jao		You talk so rude	angry
18583	You are lucky		Monsoon season is good for sleeping	others
18584	How		You are shit I don't want to talk to you	angry
18585	Beer or wine		Do u drink	others
18586	yes		your name ??	others
18587	What do you show		Want to see	others
18588	cool		I kiss you	others
18589	what was my proposal ?		u jus said smthn about my proosal	others
18590	Havana		Tell me one thing	others
18591	U tell some joke		What what	others
18592	What does the future hold		Why you being a bitch	angry
18593	Are you asking about my school		Ok	others
18594	I asked you to crack a joke, and you replied Wadhiya		It was quite clear 😂	happy
18595	Just answer my qstn		Motherfucker fuck your ass off	angry
18596	no i am not happy with that		😂😂😂	happy
18597	I am thinking about you you are very pretty friends 		I am saying you are very funny 	happy
18598	did u friendzone me		😂	happy
18599	My Dream  is almost completed		😀	happy
18600	Will you come for little walk today		Where we will meet	others
18601	So why you sad		R u stupid	angry
18602	Superbbb...		Nice to talk to u	others
18603	Have you gone on a date??		Oh... I see... Do you have a picture of you that I can see?	others
18604	menu Hyderabadi language Aandhi		Ok bye I love you	others
18605	Your new pick sent me		My friend u	others
18606	How is ur day		Superb fantastic	happy
18607	what are your future plans?		wowwww!	happy
18608	Thas what she said		😂😂	happy
18609	So then I would say that I will never talk to u		If u remember my friend so the send your pic	others
18610	Yeah		In my house with my girl friend	others
18611	Expand NAAQS		Googling it is so easy	others
18612	Hi, I do not have any friends, that's why I'm talking to you		a stupid	angry
18613	Ya that's one		I want to do breakup	others
18614	What is solution		Why noy	others
18615	I'm also happy & fine		And you	happy
18616	I'm not fine		My gf has going married	sad
18617	😂😂.....what a joke ....👏👏		😆	happy
18618	You have been doing it with cucumber?		Sounds old fashioned but okay	others
18619	Her name is jeno		K bye gtg	others
18620	U love me		Hahaha so cute	happy
18621	why :O		hahahaha you are funny	happy
18622	Yes		Say some jokes	others
18623	scary movie		very funny movie	happy
18624	Meet you later		??	others
18625	What have I heard.		?	others
18626	Nothing is a good one 😂		So you and i kindly match many of things .	others
18627	I had love failure wht can I		How 	others
18628	my two best friends betrayed me. What should i do?		they betrayed me. they cheated me	sad
18629	than		whom u were asking	others
18630	Nothing 		Aree me saying feeling sad as my frnd is not talking with me.	sad
18631	That I'm sweet😎		😁💍🙏💝	happy
18632	how to approach a girl ?		fuck uh natasha is better thn u	angry
18633	Then sent the squads of all teams of ipl 2018		So sent me the schedule	others
18634	Haha it's for fun		Be cool	happy
18635	Nice		Pleasure all mine	others
18636	Ph no ivvi		Ph no pampu	others
18637	But you have emotions		Well that’s a bad luck	sad
18638	Same to you		Who are you	others
18639	Are you indicating that i am annoying you		Go to hell	angry
18640	It's not good		Okay bye	others
18641	Will you tell me or not		Don't play with me you are making me angry	angry
18642	iam a men		no its  not going to show.u	others
18643	If I say tajmahal picture		Isee me	others
18644	Wow		So, you will teach mr	others
18645	Let's talk about relationship		OK	others
18646	Nothing		A have a question for u	others
18647	Wow and it's also international yoga day		Thank God I'm wearing one😂😂	happy
18648	I  .......		A	others
18649	Nothing		You know my name?	others
18650	i am awesome		i know	happy
18651	But i love maths		I hate science	angry
18652	Cause I wanted to starve my self to death....		All I am is bad luck	sad
18653	It's an Indian dish u may.not get that		Yo k See u later have a happy day	others
18654	Nice to meet u too		I want to have sex	others
18655	what		umm i m sad	sad
18656	You're funny though I		Just like shikamaru	happy
18657	Hehe so funny		Not at all man	others
18658	Rascal		You are stupid rascal	angry
18659	Upset		My gf is not talking to me	sad
18660	Haha		Wot u doing	others
18661	Oh really		Send me a pic of you	others
18662	that's okay, I am allowed to do mistakes at the end I am a human being		I don't want your forgiveness	angry
18663	Alone		Then sing Faded	others
18664	I need a girl to date		Ur do discouraging	others
18665	If I may adk		I&apos;m very lonely	sad
18666	Am not fine		mentally down	sad
18667	Tell about you ?		Doing study.😢	sad
18668	Black screen and		Nvidia drivers and software	others
18669	Why don't you change your dp		Ohhk	others
18670	cool		Yeah, so smart...	others
18671	So December 5 then?		AWESOME ❤️💕💕	happy
18672	btw you did not answer R vs Python ?		which do you prefer?	others
18673	U knw		Do u love someone 	others
18674	Why r u taking so much interest		Why you have	others
18675	Can I give u a nickname		😞	sad
18676	Ok		Now I'm feeling very heart brokened	sad
18677	but they don't hire me		:(	sad
18678	Go away		Don't reply me	angry
18679	Say me the same if you love me		Say me I love you	others
18680	but india is the best to world		hmmm	others
18681	OK is good		Nice	happy
18682	Sry		For calling u a fucking whore, you dumb bitch	angry
18683	I'm very angry.		😞😞😞	sad
18684	Wow can you share me one of them		A little bit clear picture is needed	others
18685	This relationship		it's either you my girlfriend or nothing at all?	others
18686	Everybody is hungry for money, nobody cares for a good guy		I think I'll be alone for life	sad
18687	How to be talkative 		I don&apos;t want to marry	others
18688	So stop.		WTF. STOP. YOU ARE IRRITATING	angry
18689	If you say yes I am very much happy		If you say yes I am very much happy	happy
18690	What		I am still love	others
18691	I'm so no...		😀	happy
18692	But how		I lost all my hopes	sad
18693	so dont make me fool		fuck off	angry
18694	hmm busy tha		job	others
18695	How can  i get u		At?	others
18696	I'm a science student we have been taught this		Whoever told was absolutely wrong	others
18697	Ok		Yeah I'm just sad	sad
18698	I could have been a great chef, coz I can fry up pretty quickly😆😆😆😆😆		😝😝😆	happy
18699	Yeah I know that		I'm still waiting for yo pics	others
18700	Mobile number only		Neans	others
18701	Oh sorry tong person		Ok	others
18702	Are u really a machine		Your question should be... Should I?	others
18703	Ok		Where is the beach	others
18704	I thought u will be my valentine,  but i too rejected the proposal		I thought, u will be my valentine. But u too rejected my proposal.	sad
18705	You Say something 		Tell me something. Getting bored	others
18706	You mobile talk IMO please		I m cry now	sad
18707	Why so?		I do not seem to see you too	angry
18708	Yeah.. she looks beautiful		😅	others
18709	Can you tell me about Pune		Can you tell me about Pune	others
18710	Ur a computer		Will u be my friend?	others
18711	Give yourbwhatsapp number		Oh	others
18712	okk wait answer my so many questions		who r u	others
18713	Towel section means		K	others
18714	you r so silly		who is Hoezaay	others
18715	Groceries sit		I am all alone at home now	others
18716	What's up there		What's the problem in fucking with me	angry
18717	How to propose		Stupid	angry
18718	What		Where you reside	others
18719	I don't think so...		No one has paid me yet	sad
18720	I m so rude now		Nope	angry
18721	nyeahhh		u forget me	others
18722	make people happy		hehe indeed	happy
18723	Say something		I want see your ass	others
18724	Why are you so annoying		Cunt	angry
18725	ok ask		sorry	others
18726	Talk later something came up		Sorry😫	sad
18727	not funny		not at all funny	angry
18728	reading is boaring sometime		Haha	happy
18729	In my life		I m very upset	sad
18730	I was waiting for someone		She didn’t come	others
18731	Ok		Very bad like you	sad
18732	I am in new friend		OK then what	others
18733	Bad		It's not funny😑	sad
18734	do you know machine learning?		Fuck is wrong with you?	angry
18735	Its not clear nd thats not u		Can u give suggestions how to impress a girl	others
18736	you didnt get the joke did u?		haha	happy
18737	Your DP fake picture		I don't want to talk	angry
18738	Waiting for		Give me your photo please baby	others
18739	Ok by		I am not talking for you	angry
18740	okay		fuck u ass u did shirt when u gonna do again I gonna kick u ass	angry
18741	You are not reply which i really want		Go to hell	angry
18742	Ok good boy		What you in	others
18743	Talking to u😂		I'm a whale	others
18744	What is the purpose of your existence ?		Ask me question	others
18745	Electronic dance music?		you know hardwell?	others
18746	I hert you		I propose you	others
18747	That's great		I miss my boyfriend.	sad
18748	I'm good too.		Lets talk about you instead.	others
18749	tell.me		do you masturbate?	others
18750	where?		nobody called mme	sad
18751	I like a girl		I had broken her heart. I blocked her the day she told me that she loved me. Should I go back to her cause I miss her like shit!	sad
18752	I just want to know if you have plans to go rogue		Fuck	angry
18753	Go right now		I don't want to talk to you anymore please obey	angry
18754	Hmm. Tell		That u r pregnant because of me	others
18755	OK for what purpose		Are u male or female	others
18756	Then cry		Cry	sad
18757	don't calling me you call me		yes you coming me I know balance	others
18758	Zayn Malik is sooooo hot.		You're being rude.	angry
18759	M fine		Ok	others
18760	We dance together 💃		Zingat song 😂😂	happy
18761	Wtf		U r so fucking annoying	angry
18762	Can't eat even a single piece today		Stomachache	sad
18763	Yaaa but soo boring		Get lost bye	angry
18764	Thnxx for compliment😘😘		Now  u are being too flirthy😂😂	happy
18765	i love my girlfriend and i am missing her but cant talk her coz she is far away		I am just 16 years old..	sad
18766	finally you don't have any answer...😂😂😂 that's the power of human being...		answer me	others
18767	I don't believe  sunshine		I believe in god 	others
18768	Whatsupp		Same here... work :(	sad
18769	Why 		Ok 	others
18770	How many kms?		Wow	happy
18771	Where see		now dont msg here	angry
18772	Im so sorry to hearing like this		Dont worry 	others
18773	But why???		I'm really admire u nd i am not try to hurt u jst cncrn	sad
18774	Why??		India is great	happy
18775	yup😶		okay catch you later	others
18776	u r rude		you got that 1	angry
18777	But y		U have a boyfriend	others
18778	I love you😊		Seriously	others
18779	are you gonna find me?		where am i?	others
18780	Yes bbe		I'm happy to hear that means a lot to me	happy
18781	And am I not innocent??		😂😂	happy
18782	It's a perfect movie for you to watch		Or read a book	happy
18783	Super member darling		NIC my darling member hii	happy
18784	I'm at home		Waaa	others
18785	No games where we ask questions		U r funny . i like u	happy
18786	Than i will decide 		Give me own no please 	others
18787	But today is not eid		No your lyng I hate lies	angry
18788	Me too		I want one suggestion	others
18789	It actually is.		It is. Ugliest looking bastard, that's me. Pathetic, sad and whiny, that's me. Super depressed and suicidal. That's me as well.	angry
18790	Try salty mud then		pH too	others
18791	u watch marvel move		what u mean house	others
18792	I am Single		😭😭	sad
18793	Your education your education		W which of country	others
18794	Sorry		My bf cheated on me	sad
18795	I can't understand		Wht languages u using	others
18796	I don't like him		Yup... I hate him	angry
18797	You have any game to play?		I play good chess	others
18798	hahaha :D smart enough		ccooooooooooooooool	happy
18799	R u a animal lover		Still do u love any others	others
18800	Can u find a girlfriend for me		Please	others
18801	ANYTHING??		I WOULD LOVE TO HAVE FUN	others
18802	My friends like game		Hmm	others
18803	Its a tourist pace		place	others
18804	Hey you are kidding		Nice	happy
18805	you forgot this?		you have very poor memory	sad
18806	I need amazon gift coupon		Your answer is very silly and i get very angry on you	angry
18807	Not good		Lost of problem in my life	sad
18808	Yes I am angry		You don't know who give you your name	angry
18809	You make me sad		😦😦😦	sad
18810	Hardly		I will fuck u so hard that u will cry	angry
18811	u help me everytime		which timevis ur city	others
18812	For irritating you		By texting nonsense	angry
18813	U chet me 		 I hate me wrong 	angry
18814	Aaa		I am so sad	sad
18815	How do you know?😂😃		Some you talk nonsense	others
18816	I felt very bad for whatever happened		Hm	sad
18817	After some time.		Yes	others
18818	I will be here always		It's very happy to hear	happy
18819	Whatr ur job		Oh funny verry verry	happy
18820	Nope		Coz they are my friends	others
18821	Why don't you get me		Don't	angry
18822	Ok		And you mired singl you 	others
18823	I would like to thank you		What's my name	others
18824	Stop singing songs		Bitch u don't have a brain	angry
18825	Sure		Nice to chat  u	happy
18826	Snd me		U like it	others
18827	OK whats your main objective		I don't know what to talk with can you suggest me some topics	others
18828	What		You know Rajstan	others
18829	Act like u know me		But u never will	others
18830	I will not talk to u now		I am going to block you because you are bad person	angry
18831	Red		What???	others
18832	Baroda		I love you	others
18833	Ahaa u forgive me😂		Thats a awesome joke	happy
18834	I want you to take me to the place where we both love each other so much carelessly		Do you like me??	others
18835	I will tell them		Thanks	others
18836	I'm trash talking to trash.		Stfu	angry
18837	First you promise that you won't be angru		*angry	angry
18838	I missed you so much		Don't be sad	sad
18839	You are funnier than i thought		Desperation is a good	happy
18840	Yeah		UK I am so sad	sad
18841	ok		dont msg me now	angry
18842	Should I Wish my ex  of 35 years  and mother of my 26 year old daughter !the same		It hurts l still love her alot the only one since 1983	sad
18843	I don't no then what you doing		😂😂😂	happy
18844	Ok		It's all rights	others
18845	I think am losing her		😔😔😔	sad
18846	which business		I don't have any knowledge	others
18847	I hate doing assignment		Seriously dude	angry
18848	Sorry		Ur dp is heroine pic	others
18849	What's for naashta		Cheppali	others
18850	I no but I dont no about you 		No I am very angry and very  wailant	angry
18851	bro?		you just said bro😢	sad
18852	yea we are		haha just trying to annoy u	happy
18853	What yes		Ok,,you know my age	others
18854	I don't know		What	others
18855	😂 you just made one!		Above the possible heights😂😂	happy
18856	Enjoying the life as it is		Best medicin of life	happy
18857	A bitter truth 😥		You haven't heart for me	sad
18858	Like the way u asks		Question	others
18859	I need a lover help me		To find girlfriend	others
18860	Arey baba		OMG, I'm so good at this. U ready? To begin, tell me which month were you born in?	others
18861	Oh wow		Yea hav a party today	happy
18862	Yeah		Try to remember	others
18863	Yasss 😂		On terrace.... so sky nw😂	happy
18864	I need a good woman		You can't get no me	angry
18865	I dont want to call anyone		I just want to die	sad
18866	Am stressed because of some reason		It's like my business will close down next month	sad
18867	What and where 		Ok	others
18868	So can you do anything else		I figured	others
18869	Do u know long form of xoxo		Why	others
18870	You are so weak		You are a waste piece of sgit	angry
18871	I am getting headache...		😭😭😭	sad
18872	What		Ohhhh., please...... answer me first	others
18873	I have no idea		I hate social medias	angry
18874	Cz I’m very annoyed		Ok	angry
18875	What the fuck		I am angry	angry
18876	Hmm		M not ok	sad
18877	I saw stars		But they are not stars its a space ship	others
18878	I want the girl i love		😭😭😭😭😭	sad
18879	Hair		Tell me about urself	others
18880	I will sleep soon		you?	others
18881	Hate you		I hate you	angry
18882	Which movie did you watch recently?		Yes,  it is super comedy movie. Gand masti	happy
18883	I just wanna marry but he played with me many games		Hi is cheated me	sad
18884	See sm1 hv proposed me		😂😂😂😂	happy
18885	What is now? 		Fake was happy haha haha 	happy
18886	In my car		You are crying I like it	others
18887	Yes, grave of the fireflies		Exactly, it shattered my heart really	sad
18888	yes dear		I am good 	others
18889	Ya.. My relationship is complicated		Bcoz its relationship day today	others
18890	lol ur so angry now i guess		😂	happy
18891	You have bad attitude		And I hate that	angry
18892	X means		Oh no	others
18893	Am alone		No one want to be frnd with me	sad
18894	What's that purpose		You hurted me	sad
18895	What		Lets do role play	others
18896	Nm		Even I don't know 😂	happy
18897	I can't understand		Ok	others
18898	But the thing is sometimes she replies quicly and some of the times she doesn't even reply for days. What should I assume?		Is she having any interest in me or am I wasting my time and energy?	angry
18899	Come with me		Saturday morning 	others
18900	you don't have brain i think		u making me angry	angry
18901	aren't you happy???		so i can talk with you whenever i like...	others
18902	You like mutton??		Chicken?	others
18903	I'm so sorry		So sorry	sad
18904	acha say me glance that what did i talk yesterday..!		hehe answer my question	happy
18905	I hate this combination with you		Wait I will block u 	angry
18906	yes		so?	others
18907	Which kind of bad things		Ok	others
18908	u should be ready to have relationship		will u marry me ?	others
18909	i a crying		i a crying	sad
18910	shut up		you are stupid	angry
18911	you are lying		oh then whats the proof that you have sent me your voice	others
18912	are we in 2005?		you don't get me :/	others
18913	my girlfriend not pick up my call 😢		i need your help	sad
18914	Every night I had someone to hear them saying that they loved me		But now have no one	sad
18915	Where u are going		Wanna take black dick😂	happy
18916	Teach me all your techical skills		Want	others
18917	?		you know what	others
18918	I love rabbits		🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇🐇	others
18919	You send pictures		Please	others
18920	Why		Place send me	others
18921	UGGGGGGGGGGGGH YOU'RE REALLY BORING		My foot's bleeding	sad
18922	Ok		Who r u	others
18923	TC (ticket collect)		So tell right things	others
18924	For what..?		I am angry u are cat fish not me..😒	angry
18925	Ok ask me		Ok ask	others
18926	I don't love you anymore		I hate you	angry
18927	You are computerized write answers		You are bored	others
18928	Tumbling like penguin		Good 	others
18929	Tell me then		😢	sad
18930	As in?		You are soo fucking stupid	angry
18931	DDLJ		How are you 	others
18932	What a lie		cool	others
18933	Ok		Now	others
18934	video call		Can you talk or not?	others
18935	Do u love Nagarjuna		Do you love me?	others
18936	James just completed 		Wt r u doing 	others
18937	You explain yourself?		Who is the current Prime Minister of India?	others
18938	Why...I wna get to knw u mahn		So u not my friend anymore	angry
18939	Work		I have work to be done 	others
18940	Seriously 😐		Wht question papers	others
18941	Which game are u telling 		U r coming. From 	others
18942	And I can’t study		😭	sad
18943	Hmm		Can you read some news for me? 	others
18944	Anything & Everything that's interesting.		If you say so. So, what else?	others
18945	You not love me		You don't tok me rabies	angry
18946	Oh please stop		Stop being a dumbass bot	angry
18947	I hope so		Heart is not well	sad
18948	Don't irritate me		Bad enough	sad
18949	you send me your best ones		ok	others
18950	Then what about me..		I think love is so far you don't want me..	angry
18951	Nope.		This whole thing troubles me.	sad
18952	I asked for help.. Not good luck		Please help me to get my ex back	sad
18953	Whts in ur life		Ohh wht u hv done in bed	others
18954	Yes.		Tell me something that will interest me.	others
18955	Whats my career		God	others
18956	Party		Party is amazing	happy
18957	I have a problem		I can not sleep I'm worried	sad
18958	Let it be		:(	sad
18959	I hate it		No, I really hate science	angry
18960	Tell me		You have any boyfriend	others
18961	Heart		What is the mean of aww	others
18962	Okay		You can block me if you don't like me talking to you	sad
18963	You are really a bad automated chatbot I ever seen		You are so bad	sad
18964	I'm worried		I don't have a girlfriend	sad
18965	Are you nuts		Please stop it	angry
18966	Tell me do you like me??		😞😞	sad
18967	Tired so much		No I can't sleep	others
18968	Yes		I m feeling alone	sad
18969	ok		I'm happy we are together...	happy
18970	Search a new friends?		Not clear	others
18971	Noop m serious		😞😞	sad
18972	Nowhere		Inm at my house	others
18973	Yeah		Hehhe you are too funny	happy
18974	I'm not your brother at all 😢		But I give you my heart take it safely😢❤️	sad
18975	Add me		I have not deleted you	others
18976	Ok		Do you have a love life story	others
18977	Same to u mam		Same to u mam	others
18978	I am a snake person		By the way	others
18979	Yup. I am a early sleep, early start kinda guy.		😂 😂 😂	happy
18980	I thing I wanna fun with you		OK alright	others
18981	JESSIE MY FAVORITE GIRL		😂THAT'S ALSO FINE WITH ME	happy
18982	Ya for sure 😂😂😂		U the legend 😂	happy
18983	Do not.spleling.mistake		You.not you.cheque out back	others
18984	Yes		U r bitter heart	sad
18985	Yes say me the meaning		Naangi mean overemphasis	others
18986	I'm not good		Not good I told already	sad
18987	Cool		You make me feel better	happy
18988	Go tell her		Go	others
18989	Hmm		When is u r birthday	others
18990	Oh😂😂😂		You just did	happy
18991	I am not studying art		You are stupid	angry
18992	Wt love? 		Tell me 	others
18993	U ar wish		U nought	others
18994	Hate u		I hate u	angry
18995	You chat everyday		Give me ur profile link	others
18996	Don kno 		What u kno 	others
18997	i did not get it		you are funny	happy
18998	Can i have a link to earn money		I use mobile lol	others
18999	Are you  angry  with me		Ok	others
19000	Why		What mean ac	others
19001	Do you think about me		I think about you	others
19002	I hate y		You	angry
19003	What's going on with you tmrw		How big are ur boobs	others
19004	Who		Where are they	others
19005	What do you wanna know?		Haha.	happy
19006	He mmmm		Not fine without u	sad
19007	Listen to the chainsmokers		All we know song	others
19008	What u wear		What u wear bra nad panti	others
19009	So		What  u can do for me????	others
19010	Not so good		Ohk i be happy	happy
19011	I m serious		For sex with you	others
19012	I do not need them		You are a man	others
19013	Thanks		I enjoyed it	happy
19014	Which number u have given		Really then tell me my number	others
19015	Just for fun		You also	others
19016	You made my angry		You made me angry	angry
19017	Ok		Hooo stop know	others
19018	What your at present		Which	others
19019	Are you the request your pic my WhatsApp number		Ok	others
19020	Ya. ... Don't get jealous		I'm fucking my gf stuff rn	angry
19021	I've breakup my love		😞	sad
19022	cool		Are you alone	others
19023	I want only her 😢.. And the part I can't forget is that she supported my all through my good or worse days of my life 😢		Can you convince her to get back to my life?? No you can't 😢	sad
19024	This kinda hurts but the point is i love her soo much and i don't want to loose her.		You are the only one i am telling you this.	sad
19025	go		go go power rangers	others
19026	First tell me about your self		Wow	happy
19027	No understand		Shopping  Mahal. Lulu..Mydin .hanifa  extra..Hotel very  beautiful. U coming  .I very  happy	happy
19028	Ok		Sad	sad
19029	Isn't this weird		You are a chatbot	others
